symbol	definition_site	production_usage	safe	system_only	legacy_only	to_delete	notes
TimelineRevisionRepository.findById	timeline-module/adapter/TimelineRevisionRepository.java:26	TimelineMergeEngine:754; TimelineRevisionService internals (TRQ-02/08/09/10/11)	NO	NO	YES (post-I2)	YES (after ownership-scoped replacement)	global by revisionId
TimelineRevisionRepository.findHeadByProject	timeline-module/adapter/TimelineRevisionRepository.java	TimelineRevisionService:57	PARTIAL (project-only)	NO	YES	REPLACE (add tenant)	project-scoped; tenant unverified	REMOVED_IN_FINAL_CORRECTION
TimelineRevisionRepository.listByProject	timeline-module/adapter/TimelineRevisionRepository.java	TimelineMergeEngine:775	NO (tenant Java-filtered)	NO	YES	REPLACE (add tenant predicate)	load-then-check tenant	REMOVED_IN_FINAL_CORRECTION
TimelineRevisionRepository.updateAnnotation	timeline-module/adapter/TimelineRevisionRepository.java:74	TimelineRevisionService:116 (updateAnnotation)	YES (project_id in predicate)	NO	NO	NO (retain; add tenant)	metadata write, project-scoped
TimelineRevisionRepository.listDistinctSources	timeline-module/adapter/TimelineRevisionRepository.java	TimelineRevisionService listFacets	PARTIAL (project-scoped)	NO	NO	REPLACE (add tenant)	facet support
TimelineRevisionRepository.listAuthorFacets	timeline-module/adapter/TimelineRevisionRepository.java	TimelineRevisionService listFacets	PARTIAL (project-scoped)	NO	NO	REPLACE (add tenant)	facet support
TimelineRevisionRepository.listEditSessions	timeline-module/adapter/TimelineRevisionRepository.java:110	TimelineRevisionService:132 (listEditSessions)	PARTIAL (project-scoped)	NO	NO	REPLACE (add tenant)	project-scoped
TimelineSnapshotService.findPayload	timeline-module/adapter/TimelineSnapshotService.java	5 production callers (see ownership manifest)	NO	NO	YES	YES (after findOwnedById migration)	global	REMOVED_IN_FINAL_CORRECTION
TimelineSnapshotService.findById	timeline-module/adapter/TimelineSnapshotService.java:127	TimelineAssetLifecycleService:115; TimelineEditorSyncService:70	NO	NO	YES	YES (after findOwnedById migration)	global
TimelineSnapshotService.findLatestForSystemMaintenance	timeline-module/adapter/TimelineSnapshotService.java	5 production callers	PARTIAL (project-only)	NO	YES	REPLACE (add tenant)	project-scoped
TimelineSnapshotService.findOwnedById	timeline-module/adapter/TimelineSnapshotService.java	TimelineMergeEngine:762; HistoricalRevisionRestoreVerifier:116	YES (project+tenant predicate)	NO	NO	NO (KEEP — canonical safe API)	existing safe form, migration target
TimelineSnapshotService.listProjectIdsForSystemMaintenance	timeline-module/adapter/TimelineSnapshotService.java	GlobalAssetIntegrityService:50,102; KnownStorageUriIndexService:104	NO (system-only)	YES (system maintenance)	NO	REPRESENT (explicit port)	needs SystemMaintenanceReader port
