symbol	object_type	production_callers	current_predicates	ownership_context_available	safe_before_read	classification	target_predicates	target_port	disposition	guard_strategy
TimelineSnapshotService.findPayload	timeline_snapshot	RenderJobExecutionService:590; BaseJobTimelineLoader:56; TimelineRevisionRenderService:129; PlanBasedTimelineRevisionRenderService:187; TimelineMergeEngine:768	none (snapshotId global)	varies by caller (RenderJobExecution has job tenant; BaseJobTimelineLoader tenant-only)	NO	PRODUCTION_AMBIENT_GLOBAL_READ_FORBIDDEN	project_id + tenant_id in predicate	TimelineSnapshotService.findOwnedById (exists)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	KNOWN_UNSCOPED_PRODUCTION_TIMELINE_READ_SYMBOL_COUNT=0
TimelineSnapshotService.findById	timeline_snapshot	TimelineAssetLifecycleService:115; TimelineEditorSyncService:70	none (snapshotId global)	AssetLifecycle has projectId+tenantId params; EditorSync pull-by-snapshotId has no project	NO	PRODUCTION_AMBIENT_GLOBAL_READ_FORBIDDEN	project_id + tenant_id	findOwnedById	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	known symbol guard
TimelineSnapshotService.findLatestByProject	timeline_snapshot	KnownStorageUriIndexService:105; TimelineAssetGcService:75,148; TimelineAssetLifecycleService:80; TimelineEditorSyncService:62	project_id only (tenant unverified)	projectId at all callers	PARTIAL (tenant missing)	PROJECT_SCOPED_BUT_TENANT_NOT_VERIFIED_AT_PERSISTENCE_READ	project_id + tenant_id	findLatestByProject(projectId, tenantId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	known symbol guard
TimelineRevisionRepository.findById	timeline_revision	TimelineMergeEngine:754; TimelineRevisionService internals (TRQ-02/08/09/10/11)	none (revisionId global)	MergeEngine has request projectId+tenantId; service callers vary	NO	PRODUCTION_AMBIENT_GLOBAL_READ_FORBIDDEN	revision_id + project_id + tenant_id	repository findOwnedById variant	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	known symbol guard
TimelineRevisionRepository.findHeadByProject	timeline_revision	TimelineRevisionService:57 (findHead)	project_id only	projectId	PARTIAL	PROJECT_SCOPED_BUT_TENANT_NOT_VERIFIED_AT_PERSISTENCE_READ	project_id (+ tenant_id if schema requires)	query service findHead(projectId, tenantId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	known symbol guard
TimelineRevisionRepository.listByProject	timeline_revision	TimelineMergeEngine:775 (findAcceptedDuplicate)	project_id only; tenant filtered in Java (load-then-check)	request.projectId() + contextTenant	NO (tenant Java-filtered)	PROJECT_SCOPED_BUT_TENANT_NOT_VERIFIED_AT_PERSISTENCE_READ	project_id + tenant_id in predicate	listByProject(projectId, tenantId, limit)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	known symbol guard
TimelineRevisionService legacy read authority	timeline_revision (service)	TimelineRevisionController (11 endpoints); TimelineWorkbenchController; TimelineRevisionRenderService; PlanBasedTimelineRevisionRenderService; TimelineEditorSyncService	service-level delegation (various)	various	NO (mixed)	LEGACY_SERVICE_ONLY_AND_DISAPPEARS_WITH_I2	n/a	replacement query services	DELETE_AFTER_BEHAVIORAL_REPLACEMENT_CLOSURE	LEGACY_TIMELINE_REVISION_QUERY_SERVICE_REFERENCE_COUNT=0
TimelineSnapshotService.listDistinctProjectIds	timeline_snapshot (system enumeration)	GlobalAssetIntegrityService:50,102; KnownStorageUriIndexService:104	none (global system scan)	system context	YES (system maintenance)	EXPLICIT_SYSTEM_AUTHORITY_EXCEPTION	SystemMaintenanceReader port (explicit privileged)	SystemMaintenanceReader.listProjectIdsWithSnapshots	REPRESENT_THROUGH_EXPLICIT_SYSTEM_AUTHORITY_PORT	SYSTEM_CANONICAL_READ_REQUIRES_EXPLICIT_PRIVILEGED_PORT_V1
TimelineRevisionService.updateAnnotation	timeline_revision (metadata)	TimelineRevisionController:113	repo.updateAnnotation(revisionId, projectId, message, labels) — project_id in predicate	revisionId + projectId	YES	ALREADY_OWNERSHIP_SCOPED	project_id + tenant_id (add tenant)	retain as bounded metadata command	RETAIN (add tenant predicate)	NON_SEMANTIC_METADATA_MUTATION confirmed
TimelineMergeEngine.loadRevision/loadPayload	timeline_revision + snapshot	TimelineMergeEngine:754,768	repo.findById global; snapshot findPayload global (or findOwnedById when tenant context present)	merge request has projectId + tenantId (contextTenant)	NO when contextTenant null	PRODUCTION_AMBIENT_GLOBAL_READ_FORBIDDEN	findOwnedById always; repo findById with project+tenant	merge engine internal query authority	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	merge reads included in I2 scope
