http_method	path	controller_method	called_service	called_symbol	behavior_class	semantic_write	ownership_context	canonical_replacement	replacement_exists_now	target_wave	surface_action	evidence
GET	(projectId)/timeline/revisions (root)	list	TimelineRevisionService	revisionService.listHistory(projectId, editSessionId, authorUserId, source, limit)	HISTORY_QUERY	NO	projectId path param	canonical history projection (to define in I2)	NO_EXISTING_REPLACEMENT_BUT_I2_NEW_PROJECTION_AUTHORIZED	CFRH-I2	REWIRE_KEEP_ENDPOINT	TimelineRevisionController.java L72-84
GET	(projectId)/timeline/revisions/facets	facets	TimelineRevisionService	revisionService.listFacets(projectId)	QUERY_PROJECTION	NO	projectId path param	canonical facets projection (I2 new)	NO_EXISTING_REPLACEMENT_BUT_I2_NEW_PROJECTION_AUTHORIZED	CFRH-I2	REWIRE_KEEP_ENDPOINT	L87-91
PATCH	(projectId)/timeline/revisions/{revisionId}/annotation	updateAnnotation	TimelineRevisionService	revisionService.updateAnnotation(projectId, revisionId, message, labels)	REVISION_METADATA_MUTATION	NO	projectId path + revisionId global	canonical metadata mutation (I2 new)	NO_EXISTING_REPLACEMENT_BUT_I2_NEW_PROJECTION_AUTHORIZED	CFRH-I2	REWIRE_KEEP_ENDPOINT	L98-106
GET	(projectId)/timeline/revisions/edit-sessions	editSessions	TimelineRevisionService	revisionService.listEditSessions(projectId, limit)	HISTORY_QUERY	NO	projectId path param	canonical edit-session projection (I2 new)	NO_EXISTING_REPLACEMENT_BUT_I2_NEW_PROJECTION_AUTHORIZED	CFRH-I2	REWIRE_KEEP_ENDPOINT	L114-119
GET	(projectId)/timeline/revisions/compare	compare	TimelineRevisionService	revisionService.compareRevisions(projectId, from, to)	DIFF_COMPARE	NO	projectId path param	TimelineSemanticDiffV1Service (canonical diff)	YES (semantic-diff service exists)	CFRH-I2	REWIRE_KEEP_ENDPOINT	L123-130
GET	(projectId)/timeline/revisions/head	head	TimelineRevisionService	revisionService.findHead(projectId)	QUERY_PROJECTION	NO	projectId path param	canonical head (ProductCurrentRevisionService / save-service)	PARTIAL	CFRH-I2	REWIRE_KEEP_ENDPOINT	L133-138
GET	(projectId)/timeline/revisions/{revisionId}/patch-preview	patchPreview	TimelineRevisionService	revisionService.previewPatchReplay(revisionId)	PATCH_PREVIEW	NO	revisionId global (no project)	TimelinePatchApplicationService canonical preview	YES	CFRH-I2	REWIRE_KEEP_ENDPOINT	L142-150
GET	(projectId)/timeline/revisions/{revisionId}/patch-steps	patchSteps	TimelineRevisionService	revisionService.previewPatchSteps(revisionId)	PATCH_PREVIEW	NO	revisionId global (no project)	TimelinePatchApplicationService canonical preview	YES	CFRH-I2	REWIRE_KEEP_ENDPOINT	L153-161
GET	(projectId)/timeline/revisions/{revisionId}/snapshot	revisionSnapshot	TimelineRevisionService	revisionService.getRevisionSnapshotPayload(projectId, revisionId)	QUERY_PROJECTION	NO	projectId + revisionId	canonical scoped snapshot read	PARTIAL	CFRH-I2	REWIRE_KEEP_ENDPOINT	L164-170
GET	(projectId)/timeline/revisions/{revisionId}	get	TimelineRevisionService	revisionService.getDetail(revisionId)	QUERY_PROJECTION	NO	revisionId global (no project)	canonical scoped revision detail	PARTIAL	CFRH-I2	REWIRE_KEEP_ENDPOINT	L175-181
POST	(projectId)/timeline/revisions/{revisionId}/restore	restore	TimelineRevisionService	revisionService.restore(projectId, tenantId, revisionId, authorUserId)	RESTORE_OR_REISSUE_AUTHORITY	YES	projectId + tenantId explicit	TimelineRevisionSaveService.restoreRevision(productId, historicalRevisionId, expectedCurrentRevisionId, createdBy)	YES (canonical restore, R4-D1 verified payload reissue)	CFRH-I1	REWIRE_KEEP_ENDPOINT	L186-194
POST	(projectId)/timeline/revisions/merge	merge	TimelineMergeEngine	mergeEngine.merge(...)	DIFF_COMPARE (canonical merge)	YES (canonical)	projectId path	TimelineMergeEngine (canonical)	YES	RETAIN_CANONICAL_ENDPOINT	RETAIN_CANONICAL_ENDPOINT	L198+
POST	(projectId)/timeline/revisions/{revisionId}/render	render	TimelineRevisionRenderService	renderService.render(...)	RENDER_EXECUTION (canonical)	NO	projectId + revisionId	TimelineRevisionRenderService (canonical)	YES	RETAIN_CANONICAL_ENDPOINT	RETAIN_CANONICAL_ENDPOINT	L246+
GET	(projectId)/timeline/revisions/{revisionId}/render-jobs/{renderJobId}	getRenderJobStatus	RenderJobStatusService	renderJobStatusService.getStatus(...)	RENDER_STATUS (canonical)	NO	projectId + revisionId	RenderJobStatusService (canonical)	YES	RETAIN_CANONICAL_ENDPOINT	RETAIN_CANONICAL_ENDPOINT	L273+
GET	(projectId)/timeline/revisions/{revisionId}/render-jobs/{renderJobId}/result	getRenderJobResult	RenderJobStatusService	renderJobStatusService.getResult(...)	RENDER_STATUS (canonical)	NO	projectId + revisionId	RenderJobStatusService (canonical)	YES	RETAIN_CANONICAL_ENDPOINT	RETAIN_CANONICAL_ENDPOINT	L291+
