ROW_ID	EXACT_PATH	SYMBOL_OR_CONCEPT	CURRENT_ROLE	CLASSIFICATION	STRING_STATUS_SEMANTIC_AUTHORITY	DISPOSITION	CITATION
H9-001	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeDescriptor.java	WorkerRuntimeId/WorkerRuntimeIncarnationId/WorkerRuntimeDescriptor	Stable runtime endpoint identity, incarnation, and descriptor	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeDescriptor.java:7
H9-002	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/PhysicalHostDescriptor.java	PhysicalHostId/PhysicalHostIncarnationId/PhysicalHostDescriptor	Stable physical host identity, incarnation, and device inventory	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/PhysicalHostDescriptor.java:8
H9-003	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/DeviceDescriptor.java	DeviceId/DeviceDescriptor/DeviceAvailability	Typed device identity, immutable descriptor, and mutable reachability evidence	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/DeviceDescriptor.java:6
H9-004	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/CapacitySnapshot.java	CapacitySnapshot/CpuCapacity/MemoryCapacity/TemporaryStorageCapacity/DeviceResourceCapacity	Typed static or fingerprinted host and device capacity	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/CapacitySnapshot.java:7
H9-005	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/Reservation.java	Reservation/ReservedResources/DeviceResourceReservation/ReservationState	Runtime scheduling reservation authority	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/Reservation.java:7
H9-006	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ObservedUsage.java	ObservedUsage/ObservedCpuUsage/ObservedMemoryUsage/ObservedDeviceUsage	Typed telemetry evidence, distinct from capacity and reservation	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ObservedUsage.java:8
H9-007	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/HostResourceSnapshot.java	HostResourceSnapshot and freshness	Canonical runtime resource evidence for one host incarnation	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/HostResourceSnapshot.java:8
H9-008	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeAvailability.java	WorkerRuntimeAvailability/PhysicalHostAvailability/DeviceAvailability	Typed current reachability evidence	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeAvailability.java:5
H9-009	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeSupportAdvertisement.java	WorkerRuntimeSupportRequirement/WorkerRuntimeSupportAdvertisement	Provider-bound requirement and static runtime-support evidence	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/WorkerRuntimeSupportAdvertisement.java:8
H9-010	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ProviderProbeResult.java	ProviderProbeRequirement/ProviderProbeResult	Freshness-classified provider runtime probe evidence	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ProviderProbeResult.java:6
H9-011	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/RuntimeEligibilityDecision.java	RuntimeEligibilityDecision/RuntimeEligibilityReason	Typed fail-closed runtime eligibility result and explanation algebra	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/RuntimeEligibilityDecision.java:10
H9-012	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ExecutionAssignment.java	ExecutionAssignment	Exact worker, host, device, reservation placement without provider rebinding	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ExecutionAssignment.java:10
H9-013	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ExecutionAttempt.java	ExecutionAttempt/ExecutionObservation/ObservedExecutionState	Backend-neutral attempt lifecycle and normalized execution evidence	CANONICAL_FACT_FROM_H1	NO	CONSUME_AFTER_H1_FREEZE	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ExecutionAttempt.java:7
H9-014	provider-plugin-runtime-module/src/main/java/com/example/platform/providerplugin/ProviderPluginContribution.java	ProviderPluginContribution provider binding and runtime-support requirement	Typed provider contribution supplies exact binding inputs; it is not observability authority	CANONICAL_FACT_FROM_H1	NO	ALIGN_TO_H1_PROVIDER_RUNTIME_BUNDLE	provider-plugin-runtime-module/src/main/java/com/example/platform/providerplugin/ProviderPluginContribution.java:17
H9-015	observability-module/src/main/java/com/example/platform/observability/app/ObservabilityOverviewService.java	Observability overview map	Read-only module and trace-key summary	DERIVED_PROJECTION	NO	REPLACE_WITH_TYPED_OVERVIEW_IF_RETAINED	observability-module/src/main/java/com/example/platform/observability/app/ObservabilityOverviewService.java:10
H9-016	frontend/src/observability/models/types.ts	RenderJobSummaryObs/RenderJobDetailObs/ExecutionStep/EffectExecution	UI-only render and execution read models	DERIVED_PROJECTION	NO	REBASE_ON_TYPED_PROJECTION_API	frontend/src/observability/models/types.ts:15
H9-017	frontend/src/pages/ObservabilityDashboard.tsx	ObservabilityDashboard operator composition	Read-only jobs, inspector, metrics composition	DERIVED_PROJECTION	NO	REBASE_ON_H4_OPERATOR_PROJECTIONS	frontend/src/pages/ObservabilityDashboard.tsx:20
H9-018	frontend/src/contracts/app/render-job.ts	Frontend RenderJobStatus and RenderJobSummary schemas	API projection schema; currently differs from other frontend status vocabulary	DERIVED_PROJECTION	NO	ONE_MAPPER_FROM_APPLICATION_STATUS	frontend/src/contracts/app/render-job.ts:4
H9-019	render-module/src/main/java/com/example/platform/render/api/dto/RenderJobStatusResponse.java	RenderJobStatusResponse and status-history DTOs	API-facing read representation of render application state	DERIVED_PROJECTION	NO	MAP_WITHOUT_REINTERPRETATION	render-module/src/main/java/com/example/platform/render/api/dto/RenderJobStatusResponse.java:3
H9-020	observability-module/src/main/java/com/example/platform/observability/domain/ProviderSlaMetric.java	Provider SLA counters, rates, latency, and error budget	Operational metric sample	METRIC	NO	RETAIN_AS_METRIC_ONLY	observability-module/src/main/java/com/example/platform/observability/domain/ProviderSlaMetric.java:8
H9-021	frontend/src/observability/models/types.ts	MetricsSummary/ProviderMetrics/FailureMetrics	Operator metric read models	METRIC	NO	SOURCE_FROM_MEASURED_SERIES	frontend/src/observability/models/types.ts:123
H9-022	frontend/src/observability/components/SystemMetrics.tsx	Synthetic latency histogram from one average	UI fabricates bucket counts from average duration	METRIC	NO	DELETE_REINTERPRETATION_USE_REAL_HISTOGRAM	frontend/src/observability/components/SystemMetrics.tsx:95
H9-023	platform-app/src/main/java/com/example/platform/health/HealthController.java	Database status-count metrics summary	Read-only database counts grouped by application status	METRIC	NO	TYPED_METRIC_RESPONSE_ONLY	platform-app/src/main/java/com/example/platform/health/HealthController.java:55
H9-024	scheduler-module/src/main/java/com/example/platform/scheduler/app/ScheduleRegistryService.java	Scheduler overview counts	Registered, active, pending, failed run gauges	METRIC	NO	RETAIN_AS_METRICS_NOT_JOB_STATE	scheduler-module/src/main/java/com/example/platform/scheduler/app/ScheduleRegistryService.java:23
H9-025	user-analytics-module/src/main/java/com/example/platform/analytics/app/BehaviorEventService.java	analytics.events.ingested counter	User-event ingestion counter	METRIC	NO	RETAIN_AS_METRIC_ONLY	user-analytics-module/src/main/java/com/example/platform/analytics/app/BehaviorEventService.java:24
