reader_id	revision	module	path	symbol	classification	input_semantics	evidence	status
R01	CANONICAL_BASE	render	render-module/src/main/java/com/example/platform/render/app/RenderArtifactQueryService.java	RenderArtifactQueryService.getArtifactContent	LOGICAL_ID_TO_PHYSICAL_READER	Typed StorageObjectId treated as bucket slash key	Base lines 78 through 86 split storageObjectId value and call BlobStorage get	CLASSIFIED
R02	CANONICAL_BASE	artifact	artifact-module/src/main/java/com/example/platform/artifact/app/ArtifactStorageIntegrityScanner.java	ArtifactStorageIntegrityScanner.scanCatalog	LOGICAL_ID_TO_PHYSICAL_READER	Catalog storageUri parsed as physical object reference	Base lines 35 through 46 parse URI and call BlobStorage get by bucket and objectKey	CLASSIFIED
R03	CANONICAL_BASE	platform-web	platform-app/src/main/java/com/example/platform/web/media/KnownStorageUriIndexService.java	KnownStorageUriIndexService.addUri	LOGICAL_ID_TO_PHYSICAL_READER	Persisted storage values normalized and parsed as physical URIs	Base lines 125 through 131 parse URI into provider bucket and objectKey	CLASSIFIED
R04	FROZEN_H6	artifact	artifact-module/src/main/java/com/example/platform/artifact/infrastructure/S3ArtifactAccessGrantProvider.java	S3ArtifactAccessGrantProvider.grant	LOGICAL_ID_TO_PHYSICAL_READER	Typed StorageObjectId treated as optional s3 URI or bucket slash key	H6 lines 42 through 50 strip s3 scheme and split storageObjectId for presigning	CLASSIFIED
R05	BASE_AND_FROZEN_H6	worker-fabric	worker-fabric-module/src/main/java/com/example/platform/workerfabric/reuse/ArtifactOutputCommitOrchestrator.java	ArtifactOutputCommitOrchestrator.requireCommitMatches	CANONICAL_LOGICAL_ID_CONSUMER	Storage-issued logical identity equality and reconciliation	Base lines 143 through 153 compare publication objectId to committed replica identity	CLASSIFIED
R06	BASE_AND_FROZEN_H6	worker-fabric	worker-fabric-module/src/main/java/com/example/platform/workerfabric/reuse/DirectStorageArtifactMaterializer.java	DirectStorageArtifactMaterializer.openFirstReadableReplica	CANONICAL_LOGICAL_ID_CONSUMER	Typed StorageObjectId passed without parsing to StorageProvider	Base lines 61 through 68 call openRead with replica storageObjectId	CLASSIFIED
R07	BASE_AND_FROZEN_H6	artifact	artifact-module/src/main/java/com/example/platform/artifact/infrastructure/ArtifactRepository.java	ArtifactRepository.findReplicas	AMBIGUOUS_READER	Overloaded database string reconstructed as typed StorageObjectId	Base lines 128 through 136 and 150 through 158 wrap artifact_replica.storage_object_id without discriminator	CLASSIFIED
R08	FROZEN_H6	artifact	artifact-module/src/main/java/com/example/platform/artifact/infrastructure/ArtifactStorageMaintenanceQueryAdapter.java	ArtifactStorageMaintenanceQueryAdapter.scanStorageMaintenanceEntries	AMBIGUOUS_READER	Raw overloaded persisted value exposed as internal physical maintenance string	H6 lines 20 through 25 forward StorageMaintenanceRecord.storageObjectId as a string	CLASSIFIED
R09	BASE_AND_FROZEN_H6	storage	storage-module/src/main/java/com/example/platform/storage/contract/provider/StorageProvider.java	StorageProvider	STORAGE_OWNER_RESOLVER	Logical identity resolved only by Storage provider operations	Contract owns openRead stat copy and delete over StorageObjectId	CLASSIFIED
R10	BASE_AND_FROZEN_H6	storage	storage-module/src/main/java/com/example/platform/storage/contract/memory/InMemoryStorageProvider.java	InMemoryStorageProvider	STORAGE_OWNER_RESOLVER	Provider-owned maps resolve logical identity to in-memory bytes and metadata	Implementation generates obj session identity and resolves openRead stat copy delete internally	CLASSIFIED
R11	BASE_AND_FROZEN_H6	storage-opendal	storage-provider-opendal/src/main/java/com/example/platform/storage/opendal/internal/AbstractOpenDalProvider.java	AbstractOpenDalProvider	STORAGE_OWNER_RESOLVER	Provider maps logical identity to internal OpenDAL path	Implementation generates obj writeSessionId and OpenDalLocationCodec maps it to objects slash id	CLASSIFIED
