TYPE	CURRENT_MODULE	CURRENT_PACKAGE	BEHAVIOR	INPUT_DIRECTION	OUTPUT_DIRECTION	ROLE	CANONICAL_AUTHORITY	AUTHORITY_OWNER	FINAL_MODULE	FINAL_PACKAGE	ACTION	CALLER_COUNT	FINAL_LOCATION_VERIFIED	RATIONALE
AiRenderScriptNormalizer	render-module	com.example.platform.render.app.timeline	AI script -> internal-1.0 via adapter + timeline-owned import service	AI raw output	internal-1.0 JSON	RENDER_AI_BOUNDARY	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	AI application boundary; canonical write routed through timeline-owned import service
AiRenderScriptNormalizer	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
AiTimelineEditContext	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	7	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
AiTimelineEditResponseParser	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
AiTimelineEditService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
AiTimelineProposalService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
BaseJobTimelineLoader	render-module	com.example.platform.render.app.timeline	loads canonical internal-1.0 from job/snapshot for render input	job id	internal-1.0 JSON	RENDER_DOWNSTREAM_TIMELINE_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	7	PASS	read-only canonical load for render jobs (directive 6.2)
IncrementalPlanExplainer	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
IncrementalRenderOrchestrationService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
IncrementalRenderPlanService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	5	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
InternalTimelineAdapter	render-module	com.example.platform.render.app.timeline	canonical internal-1.0 -> render TimelineSpec projection for planning	internal-1.0 JSON	TimelineSpec	DOWNSTREAM_PROJECTION	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	7	PASS	canonical -> render projection (directive 6.1: downstream consumption acceptable)
InternalTimelineAiProposals	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
InternalTimelineMetadataEnricher	render-module	com.example.platform.render.app.timeline	merges AI/edit-session fields into internal-1.0 metadata block + revision bump	internal-1.0 JSON + AI context	enriched internal-1.0 JSON	APP_METADATA_ENRICHMENT	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	representation-level metadata enrichment only (E1b: metadata/revision non-semantic); uses timeline-owned InternalTimelineJson serializer; zero canonical semantics
InternalTimelineToEditorConverter	render-module	com.example.platform.render.app.timeline	canonical internal-1.0 -> editor v2 JSON projection	internal-1.0 JSON	editor v2 JSON	EDITOR_PROJECTION	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	canonical -> editor projection (directive 6.3); no canonical mutation/schema authority
InternalTimelineValidationService	render-module	com.example.platform.render.app.timeline	validates internal-1.0 JSON shape (schemaVersion/id/composition/stable IDs/security)	internal-1.0 JSON	validation result	CANONICAL_VALIDATION	YES	timeline	timeline-module	com.example.platform.timeline.app	MOVE	2	PASS	render validator was an independently evolving canonical schema validator; consolidated into timeline-owned InternalTimelineValidationService running the E1b canonical gate (sole production validator)
InternalTimelineWriter	render-module	com.example.platform.render.app.timeline	constructs internal-1.0 JSON (project/assetRegistry/composition/styles/templates/renderGraph/outputs/metadata) from TimelineSpec	TimelineSpec+extensions	internal-1.0 JSON	CANONICAL_AUTHORING_WRITE	YES	timeline	timeline-module	com.example.platform.timeline.app	SPLIT	1	PASS	canonical construction authority moved to TimelineImportService (typed TimelineImportRequest in, canonical internal-1.0 out, E1b gate); TimelineSpec field mapping moved to render boundary adapter TimelineSpecImportAdapter
McpMediaToolsController	platform-app	com.example.platform.web.media	MCP endpoints (import_otio/edl/aaf/fcpxml, validate_timeline, export) — uses timeline-owned validation + import	external JSON	internal-1.0/response	APPLICATION_ENDPOINT	NO	platform-app	platform-app	com.example.platform.web.media	KEEP	1	PASS	application endpoint layer; validation and canonical construction delegated to timeline-owned services
MezzanineCachePublisher	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderArtifactRegistry	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderCacheArtifactFetcher	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderCacheContentHasher	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderCacheReuseValidator	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderCacheUriResolver	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	4	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderImpactAnalyzer	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderJobRevisionPinningService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderJobStatusService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
RenderTimelinePayloadCodec	render-module	com.example.platform.render.app.timeline	render-side implementation of timeline-owned TimelinePayloadCodec port	payload	internal-1.0/editor JSON	PORT_IMPLEMENTATION_BOUNDARY	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	boundary adapter implementing the timeline-owned port; canonical construction delegated to TimelineImportService via TimelineConversionService
ReviewDecisionService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentArtifactUploadService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentCachePublisher	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentPipelinePayloadBuilder	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentPlanFilter	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	4	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentRenderSlice	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentStitchComposeService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
SegmentTimelinePlanner	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	6	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetGcScheduler	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	1	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetGcService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	5	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetIntegrityScanner	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetLifecycleService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetReferenceScanner	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineAssetUriResolver	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineCommentService	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	4	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineConversionService	render-module	com.example.platform.render.app.timeline	editor/OTIO/legacy -> TimelineSpecResolver -> adapter -> TimelineImportService	editor/OTIO/legacy JSON	internal-1.0 JSON	BOUNDARY_COORDINATOR	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	5	PASS	application boundary coordinator: interchange resolution + delegation only; canonical construction delegated to timeline-owned TimelineImportService (RENDER_TO_CANONICAL_TIMELINE_CONVERSION_AUTHORITY=0)
TimelineEditorSyncService	render-module	com.example.platform.render.app.timeline	push/pull/sync editor v2 <-> internal-1.0; delegates conversion, revision mutation, snapshots	editor JSON	internal-1.0 + revision	EDITOR_BOUNDARY_COORDINATOR	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	3	PASS	coordinator only (directive 6.4): conversion delegates to timeline-owned import; revision mutation via TimelineRevisionService; snapshots timeline-owned
TimelineImportRequest	timeline-module	com.example.platform.timeline.app	typed Timeline-owned import contract (records)	n/a (adapter output)	typed contract	CANONICAL_IMPORT_CONTRACT	YES	timeline	timeline-module	com.example.platform.timeline.app	KEEP	3	PASS	new typed Timeline-owned import contract; no render-domain types; quantization decided by TimelineImportService
TimelineImportService	timeline-module	com.example.platform.timeline.app	canonical internal-1.0 constructor from TimelineImportRequest + E1b gate	TimelineImportRequest	canonical internal-1.0 JSON	CANONICAL_CONSTRUCTION	YES	timeline	timeline-module	com.example.platform.timeline.app	KEEP	8	PASS	new sole canonical construction/write authority; runs E1b gate before returning (fail-closed)
TimelineInputProductResolver	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	5	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
TimelineInputProductResolverResult	render-module	com.example.platform.render.app.timeline	downstream render consumer / projection / lifecycle (see V1 manifest classification)	various	various	RENDER_DOWNSTREAM_CONSUMER	NO	render	render-module	com.example.platform.render.app.timeline	KEEP	2	PASS	no canonical Timeline authority (validated in V2 behavior scan); unchanged downstream consumer
