path	classification
CR1_CHANGE_LEDGER.tsv	GOVERNANCE
settings.gradle.kts	MODULE_WIRING
composite-resource-module/build.gradle.kts	MODULE_WIRING
composite-resource-module/src/main/java/com/example/platform/compositeresource/CompositeResourceModule.java	MODULITH
composite-resource-module/src/main/java/com/example/platform/compositeresource/package-info.java	MODULITH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/ComponentAddress.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/ComponentBindingVariant.java	COMPONENT
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/ComponentCollectionSemantics.java	FACET
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeComponentId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeComponentPin.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeReferenceCycle.java	GRAPH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeReferenceErrorCode.java	GRAPH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeReferenceGraph.java	GRAPH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeReferenceNodeId.java	GRAPH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeReferenceValidationException.java	GRAPH
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceAddress.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceCanonicalSerializerV1.java	SERIALIZATION
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceChange.java	DIFF
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceDiff.java	DIFF
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceDiffErrorCode.java	DIFF
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceDiffException.java	DIFF
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceKindId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceScope.java	RESOURCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceVersion.java	RESOURCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceVersionId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/CompositeResourceVersionPin.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/ExactSemanticObjectPin.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/ExternalSemanticComponent.java	COMPONENT
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/FacetAddress.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/NamespacedIdentityPolicy.java	VALIDATION
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/NestedCompositeResourceComponent.java	COMPONENT
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/OpaqueIdentityPolicy.java	VALIDATION
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticComponent.java	COMPONENT
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticFacet.java	FACET
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticFacetId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticFacetPin.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticFacetTypeId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticObjectId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticObjectTypeId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticObjectVersionId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/SemanticOwnerId.java	IDENTITY
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/WholeResourceAddress.java	REFERENCE
composite-resource-module/src/main/java/com/example/platform/compositeresource/domain/package-info.java	MODULITH
composite-resource-module/src/test/java/com/example/platform/compositeresource/CompositeResourceModularityTest.java	MODULITH
composite-resource-module/src/test/java/com/example/platform/compositeresource/architecture/CompositeResourceArchitectureGuardTest.java	ARCHITECTURE_GUARD
composite-resource-module/src/test/java/com/example/platform/compositeresource/domain/CompositeReferenceGraphTest.java	TEST
composite-resource-module/src/test/java/com/example/platform/compositeresource/domain/CompositeResourceCanonicalSerializerV1Test.java	TEST
composite-resource-module/src/test/java/com/example/platform/compositeresource/domain/CompositeResourceDiffTest.java	TEST
composite-resource-module/src/test/java/com/example/platform/compositeresource/domain/CompositeResourceIdentityTest.java	TEST
composite-resource-module/src/test/java/com/example/platform/compositeresource/domain/CompositeResourceModelTest.java	TEST
