semantic_feature	internal_1_0_representation	timeline_document_representation	other_canonical_authority	roundtrip_preserved	current_conversion_path	loss_risk	i1_relevance	decision	evidence
tracks	composition.tracks (array)	TimelineDocument.tracks (List<TimelineTrack>)	TimelineCandidate (canonicalmodel)	YES (tracks map 1:1)	InternalTimelineCandidateAdapter.map → TimelineCandidate	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (both I1 write behaviors deleted; canonical save retains tracks for future canonical writes)	TimelineDocument.tracks; adapter.map
clips	composition.tracks[].clips (array)	TimelineTrack.clips (List<TimelineClip>)	TimelineCandidate	YES (clips map with clipId/sourceKind/mediaAssetId/streamId/artifactId/contentDigest/startTime/endTime/trimStart/trimEnd/temporalMapping)	adapter.map + document mapper	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TimelineDocument.clips
source binding	clip.mediaAssetId + mediaStreamId + artifactId + contentDigest	TimelineClip.mediaAssetId/mediaStreamId/artifactId/contentDigest	TimelineCandidate	YES	adapter.map	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TimelineClip fields
artifact/content digest pin	assetRegistry.assets[] + pins via TimelineArtifactPinExtractor	TimelineClip.contentDigest + artifactId; extractPinsFromDocument	TimelineArtifactPinExtractor/Validator	YES (canonical save extracts+validates+registers same-tx)	extractPinsFromDocument + ArtifactPinValidator + registerRevisionPins	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	canonical pin boundary
exact source range	clip.sourceRange + trim	TimelineClip.trimStart/trimEnd + startTime/endTime	TimelineCandidate	YES	adapter.rangeStart/rangeDuration/sourceRangeStart	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TimelineClip ranges
timeline placement	composition.timeline placement + track order	TimelineTrack order + clip startTime	TimelineCandidate	YES	adapter.map	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TimelineTrack order
temporal mapping	clip rate/timescale (ticks/timeScale)	TimelineClip.temporalMapping (TemporalMapping)	TimelineCandidate	YES	adapter.clipRateOf/mediaTimeFromTicks	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	temporalMapping field
audio mix	audioMix sections (if present)	TimelineDocument.audioMix (AudioMix)	TimelineCandidate	YES	document mapper audioMix	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	audioMix field
text elements	composition.textElements	TimelineDocument.textElements (List<TextElement>)	TimelineCandidate	YES	adapter.map + document mapper	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	textElements field
font semantics	text element font refs	TextElement font fields	TimelineCandidate	YES	document mapper	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TextElement
