path	symbol	authority_class	canonical_concept	current_authority	alternate_authority	runtime_reachable	delete_candidate	migration_required	risk_class	target_wave	evidence
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	recordRevision (both overloads)	LEGACY_REVISION_CREATION_AUTHORITY	Timeline revision write	legacy internal-1.0 service	TimelineRevisionSaveService.saveRevision* (canonical)	YES (TimelineEditorSyncService:46,108,143)	YES	YES (input conversion internal-1.0→canonical)	P0	CFRH-I1	competing semantic write authority; sole caller editor sync
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	recordAiAdoptRevision	LEGACY_REVISION_CREATION_AUTHORITY	Timeline revision write (AI adopt)	legacy internal-1.0 service	TimelineRevisionSaveService.saveRevision*	YES (RenderController:308)	YES	YES (AI internal-1.0 JSON→canonical)	P0	CFRH-I1	AI-adopt creates legacy revisions
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	restore	LEGACY_RESTORE_REISSUE_AUTHORITY	Timeline restore/new revision	legacy internal-1.0 service	TimelineRevisionSaveService.restoreRevision (R1-R3, verified reissue)	YES (TimelineRevisionController:193)	YES	YES (controller rewiring)	P0	CFRH-I1	legacy restore creates new revision = competing semantic write
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	backfillHeadFromLatestSnapshot	LEGACY_BACKFILL_WRITE_AUTHORITY	legacy head revision state	legacy internal-1.0 service	ProductCurrentRevisionService / canonical head derivation	YES (TimelineEditorSyncService:60)	YES	YES (eliminate backfill behavior)	P0	CFRH-I1	creates legacy head revision state
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	findHead/findById/getRevisionSnapshotPayload/getDetail/listHistory/listFacets/listEditSessions/compareRevisions/previewPatchReplay/previewPatchSteps/updateAnnotation	LEGACY_REVISION_QUERY_PROJECTION	Timeline revision query/projection	legacy internal-1.0 service	canonical scoped reads + TimelineSemanticDiffV1Service + TimelinePatchApplicationService	YES (TimelineRevisionController + TimelineWorkbenchController)	YES (after I2 closure)	YES (rewire to canonical queries)	P1-P2 (projection, not semantic authority)	CFRH-I2	query/projection behaviors; NOT P0
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	updateAnnotation	LEGACY_METADATA_MUTATION	revision metadata (message/labels)	legacy internal-1.0 service	canonical metadata mutation (to define)	YES (TimelineRevisionController:105)	PARTIAL	YES	P3 (non-semantic metadata)	CFRH-I2	metadata mutation not semantic
timeline-module/src/main/java/com/example/platform/timeline/app/InternalTimelineCandidateAdapter.java	toCandidate (internal-1.0 parse)	LEGACY_SERIALIZATION_PATH	Timeline canonicalization	legacy internal-1.0 JSON→canonical	canonical TimelineImportService / TimelineCanonicalizer	YES (merge/import/legacy paths)	PARTIAL	YES	P2	CFRH-I3	legacy payload adapter
timeline-module/src/main/java/com/example/platform/timeline/app/InternalTimelineJson.java	internal-1.0 payload model	LEGACY_SERIALIZATION_PATH	Timeline payload (legacy)	legacy internal-1.0 JSON shape	canonical TimelineDocument	YES	YES	YES	P2	CFRH-I3	legacy payload model
timeline-module/src/main/java/com/example/platform/timeline/diff/calculation/TimelineSnapshotConverter.java	legacy snapshot conversion	LEGACY_SERIALIZATION_PATH	Timeline snapshot conversion	legacy converter	canonical diff/merge	YES	YES	YES	P2	CFRH-I3	legacy snapshot converter
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineCanonicalizer.java	legacy→canonical conversion	CORE_CANONICAL (NOT residue)	Timeline canonicalization	canonical normalizer	—	YES	NO	NO	SAFE	—	canonical conversion required; do NOT delete
