caller	called_symbol	object_type	project_context_available	tenant_context_available	context_source	context_validated	signature_change_required	query_change_required	public_api_change_required	safe_replacement	target_wave	evidence
RenderJobExecutionService:590	timelineSnapshotService.findPayload(snapshotId)	Timeline snapshot payload	YES (job.projectId)	YES (job tenant path)	render job execution context	PARTIAL (project derived from job; not directly at call)	NO	YES (use findOwnedById(projectId, tenantId, snapshotId))	NO	scoped read with job-derived project+tenant	CFRH-I2	RenderJobExecutionService.java:590
BaseJobTimelineLoader:56	timelineSnapshotService.findPayload(snapshotId)	Timeline snapshot payload	NO (job has tenantId + aiScript + timelineSnapshotId, NO projectId)	YES (tenantId param + tenantGuard.requireJobTenant)	loadInternalTimelineJson(baseJobId, tenantId)	tenant YES validated; project NOT available	YES (need projectId in job projection or scoped read port)	YES	YES (if API/job projection lacks projectId)	scoped read requires projectId source: extend job projection/query (Option A) or new scoped read port (Option B)	CFRH-I2	BaseJobTimelineLoader.java:34-56
TimelineRevisionRenderService:113	revisionService.findById(revisionId)	Timeline revision (legacy)	YES (render project context)	YES	render revision render path	PARTIAL	NO	YES	NO	canonical TimelineRevisionSaveService.findById (tenant-scoped)	CFRH-I2	TimelineRevisionRenderService.java:113
TimelineRevisionRenderService:129	snapshotService.findPayload(snapshotId)	Timeline snapshot payload	YES	YES	render revision path (project from revision)	PARTIAL	NO	YES	NO	findOwnedById(projectId, tenantId, snapshotId)	CFRH-I2	TimelineRevisionRenderService.java:129
PlanBasedTimelineRevisionRenderService:174	revisionService.findById(revisionId)	Timeline revision (legacy)	YES	YES	plan compile path	PARTIAL	NO	YES	NO	canonical findById	CFRH-I2	PlanBasedTimelineRevisionRenderService.java:174
PlanBasedTimelineRevisionRenderService:187	snapshotService.findPayload(snapshotId)	Timeline snapshot payload	YES	YES	plan compile path	PARTIAL	NO	YES	NO	findOwnedById	CFRH-I2	PlanBasedTimelineRevisionRenderService.java:187
TimelineEditorSyncService:72	pullBySnapshotId(snapshotId)	Timeline snapshot	PARTIAL (snapshotId only in API; projectId optional in PullRequest)	NO (no tenant in pull request)	PullRequest(projectId, snapshotId)	NO (snapshotId can arrive without projectId)	YES	YES	YES (public API change: pull-by-snapshotId requires ownership context)	require projectId+tenantId at pull boundary; or derive ownership from snapshot row first (LOAD_THEN_CHECK - P1)	CFRH-I2	TimelineEditorSyncController.java:158 PullRequest
TimelineEditorSyncService:73	timelineSnapshotService.findById(snapshotId)	Timeline snapshot	PARTIAL	NO	editor sync path	NO	YES	YES	YES	scoped read with explicit project+tenant	CFRH-I2	TimelineEditorSyncService.java:73
TimelineEditorSyncService:46/108/143	timelineRevisionService.recordRevision(...)	Timeline revision (legacy write)	YES (projectId param)	YES (tenantId param)	method params	YES	YES (input model: internal-1.0 JSON → canonical)	NO	NO	canonical TimelineRevisionSaveService.saveRevision*	CFRH-I1	TimelineEditorSyncService.java:46,108,143
TimelineEditorSyncService:60	backfillHeadFromLatestSnapshot(projectId, null)	legacy head revision	YES	YES (param; null passed)	method param	PARTIAL (tenantId passed as null)	YES	NO	NO	canonical head derivation; eliminate backfill	CFRH-I1	TimelineEditorSyncService.java:60
TimelineAssetLifecycleService:115	timelineSnapshotService.findById(snapshotId)	Timeline snapshot	YES (projectId param)	YES (tenantId param)	tombstone(projectId, snapshotId, assetId, tenantId)	NO (LOAD_THEN_CHECK: findById then :116 projectId.equals check)	NO	YES (use findOwnedById)	NO	method already has projectId+tenantId → direct scoped read	CFRH-I2	TimelineAssetLifecycleService.java:113-116
TimelineAssetLifecycleService:80	timelineSnapshotService.findLatestByProject(projectId)	Timeline snapshot (latest)	YES (projectId)	PARTIAL (tenantId not in call)	method context	PARTIAL	NO	YES (add tenantId predicate)	NO	project+tenant scoped latest read	CFRH-I2	TimelineAssetLifecycleService.java:80
TimelineAssetGcService:75,148	timelineSnapshotService.findLatestByProject(projectId)	Timeline snapshot (latest)	YES (projectId)	PARTIAL	GC service project context	PARTIAL	NO	YES	NO	project+tenant scoped latest read	CFRH-I2	TimelineAssetGcService.java:75,148
KnownStorageUriIndexService:105	timelineSnapshotService.findLatestByProject(projectId)	Timeline snapshot (latest)	YES (projectId)	PARTIAL	index service	PARTIAL	NO	YES	NO	project+tenant scoped latest read	CFRH-I2	KnownStorageUriIndexService.java:105
TimelineMergeEngine:754	revisionRepository.findById(revisionId)	Timeline revision row	PARTIAL (revision carries projectId but query is global)	PARTIAL (contextTenant available at callers)	merge engine internals	NO (global id-only row read; owned snapshot read later at :762)	YES (needs findOwnedById(revisionId, projectId, tenantId) repository method)	YES	NO	scoped repository read; row read must be ownership-scoped AT query	CFRH-I2	TimelineMergeEngine.java:754,762
TimelineRevisionController:90/118/129/149/160/180/193	revisionService.listFacets/listEditSessions/compareRevisions/previewPatchReplay/previewPatchSteps/getDetail/restore	Timeline revision (legacy projections + restore)	YES (projectId path param)	PARTIAL (tenant from auth context)	REST controller {projectId} path	PARTIAL	NO	YES (restore → canonical restore; previews → canonical patch preview)	NO (controller surface can be rewired internally)	mixed: restore → canonical restore (I1); projections → canonical queries (I2)	CFRH-I1 (restore) + CFRH-I2 (projections)	TimelineRevisionController.java
TimelineRevisionService:195/202/449	revisionRepository.findById(revisionId)	Timeline revision row (internal legacy)	NO	NO	legacy service internals	NO	YES (service deletion after behavior closure)	NO	NO	service-level: delete after all behaviors migrated (I2 postcondition)	CFRH-I2	TimelineRevisionService.java:195,202,449
