behavior_id	service_method	behavior_kind	current_controller_endpoint	production_callers	repository_reads	snapshot_reads	ownership_context_available_at_entry	ownership_verified_before_persistence_read	load_then_check	replacement_exists_now	target_authority	final_disposition	target_wave	notes
TRQ-01	findHead(projectId)	query-head	GET /{projectId}/timeline/revisions/head	TimelineRevisionController:145; TimelineEditorSyncService:58,99	repo.findHeadByProject(projectId)	none	projectId	repo predicate project_id only (tenant not in predicate)	NO	PARTIAL (project-scoped; tenant unverified)	TimelineRevisionQueryService.findHead(projectId, tenantId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-B	verify tenant predicate requirement from schema
TRQ-02	findById(revisionId)	query-detail	none (service-level)	TimelineRevisionRenderService:113; PlanBasedTimelineRevisionRenderService:174	repo.findById(revisionId)	none	NONE	NO (global read)	YES (LOAD_THEN_CHECK)	PARTIAL	TimelineRevisionQueryService.findOwnedById(projectId, tenantId, revisionId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A	render callers need ownership context
TRQ-03	getRevisionSnapshotPayload(projectId, revisionId)	query-payload	GET /{projectId}/timeline/revisions/{revisionId}/snapshot	TimelineRevisionController:177,423	repo.findById + snapshot findOwnedById	snapshot findOwnedById	revisionId + projectId	project verified in service (findById filter)	PARTIAL	YES (findOwnedById exists)	TimelineRevisionQueryService.getSnapshotPayload(projectId, tenantId, revisionId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A	already project-scoped; add tenant
TRQ-04	listHistory(projectId, ...)	query-list	GET /{projectId}/timeline/revisions (root)	TimelineRevisionController:89	repo.listHistory(projectId,...)	none	projectId	repo predicate project_id only	NO	YES (listHistory by project)	TimelineRevisionQueryService.listHistory(projectId, tenantId, ...)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A	tenant predicate needed
TRQ-05	updateAnnotation(projectId, revisionId, message, labels)	metadata-write	PATCH /{projectId}/timeline/revisions/{revisionId}/annotation	TimelineRevisionController:113	repo.updateAnnotation(revisionId, projectId, ...)	none	projectId + revisionId	repo predicate includes project_id	NO	YES (already scoped)	TimelineRevisionQueryService.updateAnnotation (or retain)	RETAIN_AS_OWNERSHIP_SCOPED_METADATA_COMMAND	CFRH-I2-B	NON_SEMANTIC_METADATA_MUTATION confirmed
TRQ-06	listFacets(projectId)	query-facets	GET /{projectId}/timeline/revisions/facets	TimelineRevisionController:98; TimelineWorkbenchController:40	repo.listDistinctSources + listAuthorFacets(projectId)	none	projectId	repo predicate project_id	NO	YES	TimelineRevisionQueryService.listFacets(projectId, tenantId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A	two controllers
TRQ-07	listEditSessions(projectId, limit)	query-edit-sessions	GET /{projectId}/timeline/revisions/edit-sessions	TimelineRevisionController:126	repo.listEditSessions(projectId, limit)	none	projectId	repo predicate project_id	NO	YES	TimelineRevisionQueryService.listEditSessions(projectId, tenantId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A
TRQ-08	compareRevisions(projectId, from, to)	query-compare	GET /{projectId}/timeline/revisions/compare	TimelineRevisionController:137; TimelineWorkbenchController:91,101,102	repo.findById(from)+findById(to) (global)	snapshot findPayload (global)	projectId at API; from/to revision IDs global	NO (global revision read before project check)	YES (LOAD_THEN_CHECK)	PARTIAL	TimelineRevisionDiffQuery.compare(projectId, tenantId, from, to)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-D	workbench also calls
TRQ-09	previewPatchReplay(revisionId)	query-patch-preview	GET /{projectId}/timeline/revisions/{revisionId}/patch-preview	TimelineRevisionController:157	repo.findById(revisionId) (global)	snapshot findPayload (global)	NONE (revisionId only)	NO	YES (LOAD_THEN_CHECK)	NO	TimelineRevisionQueryService.previewPatchReplay(projectId, tenantId, revisionId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-D	global read confirmed
TRQ-10	previewPatchSteps(revisionId)	query-patch-steps	GET /{projectId}/timeline/revisions/{revisionId}/patch-steps	TimelineRevisionController:168	repo.findById(revisionId) (global)	snapshot findPayload (global)	NONE (revisionId only)	NO	YES (LOAD_THEN_CHECK)	NO	TimelineRevisionQueryService.previewPatchSteps(projectId, tenantId, revisionId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-D
TRQ-11	getDetail(revisionId)	query-detail	GET /{projectId}/timeline/revisions/{revisionId}	TimelineRevisionController:188,421	repo.findById(revisionId) + findById(parent) (global)	none	NONE (revisionId only)	NO	YES (LOAD_THEN_CHECK)	NO	TimelineRevisionQueryService.getDetail(projectId, tenantId, revisionId)	MIGRATE_TO_OWNERSHIP_SCOPED_QUERY	CFRH-I2-A	canonical example of load-then-check
