fact_id	subject	claim	classification	revision_scope	logical_identity_authority	evidence	status
F01	STORAGE_OBJECT_ID_VALUE_SEMANTICS	StorageObjectId declares logical identity independent of physical location provider or backend	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain storage-module/src/main/java/com/example/platform/storage/contract/StorageObjectId.java with the logical-identity Javadoc	CLASSIFIED
F02	RAW_STORAGE_PROVIDER_INTERFACE	com.example.platform.storage.contract.StorageProvider is a current raw string provider SPI	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob 833e41ba51c7fe52d7cff6dea70352490796661b at storage-module/src/main/java/com/example/platform/storage/contract/StorageProvider.java	CLASSIFIED
F03	RAW_STORAGE_PROVIDER_METHODS	The raw SPI exposes String providerId and providerType plus store fetch delete exists and metadata over String storageReferenceId	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	The raw StorageProvider interface has the stated signatures in both snapshots	CLASSIFIED
F04	RAW_STORAGE_PROVIDER_IMPLEMENTATION	Render S3StorageProvider is an architecture-validation stub implementing the raw SPI	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob 722c25a3f29692ead1036955df1f19a45c00796b at render-module/src/main/java/com/example/platform/render/infrastructure/storage/S3StorageProvider.java	CLASSIFIED
F05	TYPED_STORAGE_PROVIDER_INTERFACE	com.example.platform.storage.contract.provider.StorageProvider is a distinct current typed foundation and backend SPI	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob 409e2522f33456ca837881bb43e73e39e9432616 at storage-module/src/main/java/com/example/platform/storage/contract/provider/StorageProvider.java	CLASSIFIED
F06	TYPED_STORAGE_PROVIDER_OPERATIONS	The typed SPI exposes beginWrite write completeWrite abortWrite openRead stat copy and delete	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	The typed StorageProvider interface has the stated typed signatures in both snapshots	CLASSIFIED
F07	WRITE_SESSION_RESULT	com.example.platform.storage.contract.write.WriteSessionResult exists and contains StorageObjectId objectId	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain storage-module/src/main/java/com/example/platform/storage/contract/write/WriteSessionResult.java	CLASSIFIED
F08	TYPED_COMPLETION_OBJECT_ID	Typed completeWrite returns WriteSessionResult and therefore a typed completion object ID	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	The typed SPI completeWrite signature and WriteSessionResult record establish this mechanic in both snapshots but do not establish application issuance authority	CLASSIFIED
F09	IN_MEMORY_TYPED_PROVIDER	InMemoryStorageProvider implements the typed SPI and generates obj-<writeSessionId> on completion	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob 991b6c22e1f2a6e2d19dd4c6c81db556d910a53b at storage-module/src/main/java/com/example/platform/storage/contract/memory/InMemoryStorageProvider.java	CLASSIFIED
F10	ABSTRACT_OPEN_DAL_PROVIDER	AbstractOpenDalProvider implements the typed SPI and provides typed backend mechanics	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob c229e62f2f0a7d04d55e7e48ebcff68e5fba3779 at storage-provider-opendal/src/main/java/com/example/platform/storage/opendal/internal/AbstractOpenDalProvider.java	CLASSIFIED
F11	OPEN_DAL_OBJECT_ID_GENERATION	AbstractOpenDalProvider generates obj-<writeSessionId> and maps the result to an internal backend path	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	generateObjectId constructs new StorageObjectId from the write session while OpenDalLocationCodec confines physical mapping behind the backend	CLASSIFIED
