old_symbol	behavior_class	mutates_canonical_semantics	mutates_non_semantic_metadata	production_callers	caller_count	current_input_model	current_output_model	ownership_context	canonical_replacement	replacement_exists_now	delete_behavior	migrate_behavior	product_surface_delete_allowed	target_wave	blocker	evidence
recordRevision(projectId, tenantId, internalTimelineJson, ...) overload 1 (L63)	LEGACY_SEMANTIC_WRITE_AUTHORITY	YES	NO	TimelineEditorSyncService:46	1	internal-1.0 JSON + projectId + tenantId	RevisionInfo (legacy)	projectId + tenantId explicit at call	TimelineRevisionSaveService.saveRevision* (canonical TimelineDocument input)	YES (canonical save service exists; input model differs: internal-1.0 JSON must be converted to TimelineDocument)	DELETE_OBSOLETE_BEHAVIOR (after caller migration)	MIGRATE_TO_CANONICAL_WRITE_AUTHORITY	YES (no external obligation)	CFRH-I1	TimelineEditorSyncService is sole caller; needs internal-1.0→canonical conversion	TimelineEditorSyncService.java:46
recordRevision(projectId, tenantId, internalTimelineJson, ...) overload 2 (L91)	LEGACY_SEMANTIC_WRITE_AUTHORITY	YES	NO	TimelineEditorSyncService:108,143	2	internal-1.0 JSON + projectId + tenantId	RevisionInfo (legacy)	projectId + tenantId explicit	TimelineRevisionSaveService.saveRevision*	YES (input conversion required)	DELETE_OBSOLETE_BEHAVIOR	MIGRATE_TO_CANONICAL_WRITE_AUTHORITY	YES	CFRH-I1	duplicate overload; same callers	TimelineEditorSyncService.java:108,143
findHead(projectId)	QUERY_PROJECTION	NO	NO	TimelineRevisionController:137, TimelineEditorSyncService:61,170	3	projectId	Optional<RevisionInfo>	projectId only (project-scoped query)	TimelineRevisionSaveService.findHead or ProductCurrentRevisionService	PARTIAL (canonical head exists via save service; need per-method mapping)	MIGRATE_BEHAVIOR	MIGRATE_TO_NON_AUTHORITY_QUERY_PROJECTION	YES	CFRH-I2	projectId-only query; tenantId not in signature	controller + editor sync
findById(revisionId)	QUERY_PROJECTION	NO	NO	TimelineRevisionService internal (195,202,449), TimelineMergeEngine:754	4 (all within timeline-module)	revisionId	Optional<RevisionInfo>	revisionId only (GLOBAL_ID_ONLY)	TimelineRevisionSaveService.findById (tenant-scoped via TenantContext)	YES	MIGRATE_BEHAVIOR	MIGRATE_TO_SCOPED_READ	YES	CFRH-I2	global id-only read; merge engine + legacy service internal	merge engine 754, legacy service
getRevisionSnapshotPayload(projectId, revisionId)	QUERY_PROJECTION	NO	NO	TimelineRevisionController:169	1	projectId + revisionId	Optional<RevisionSnapshotPayload>	projectId at query	canonical snapshot read via project+tenant scoped port	PARTIAL	MIGRATE_BEHAVIOR	MIGRATE_TO_SCOPED_READ	YES	CFRH-I2	project-scoped already; tenantId needs verification	TimelineRevisionController:169
listHistory(projectId, ...) overloads (L223/227/231)	HISTORY_QUERY	NO	NO	TimelineRevisionController:81	1	projectId + filters	List<RevisionInfo>	projectId at query	canonical history query (if exists) or new non-authority query projection	UNKNOWN (needs canonical history port check)	MIGRATE_BEHAVIOR	MIGRATE_TO_NON_AUTHORITY_QUERY_PROJECTION	YES	CFRH-I2	history query is projection not authority	TimelineRevisionController:81
updateAnnotation(projectId, revisionId, message, labels)	REVISION_METADATA_MUTATION	NO	YES	TimelineRevisionController:105	1	projectId + revisionId + metadata	Optional<RevisionInfo>	projectId at call; revisionId global	canonical metadata mutation (if exists) or new non-authority mutation	UNKNOWN	MIGRATE_BEHAVIOR	MIGRATE_OR_RETAIN_NON_AUTHORITY	YES	CFRH-I2	metadata mutation is non-semantic; not P0	TimelineRevisionController:105
listFacets(projectId)	QUERY_PROJECTION	NO	NO	TimelineRevisionController:90, TimelineWorkbenchController:40	2	projectId	RevisionFacets	projectId only	canonical facets query (if exists)	UNKNOWN	MIGRATE_BEHAVIOR	MIGRATE_TO_NON_AUTHORITY_QUERY_PROJECTION	YES	CFRH-I2	facets = projection	controller + workbench
listEditSessions(projectId, limit)	HISTORY_QUERY	NO	NO	TimelineRevisionController:118	1	projectId + limit	List<EditSessionInfo>	projectId only	canonical edit-session query (if exists)	UNKNOWN	MIGRATE_BEHAVIOR	MIGRATE_TO_NON_AUTHORITY_QUERY_PROJECTION	YES	CFRH-I2	projection	TimelineRevisionController:118
backfillHeadFromLatestSnapshot(projectId, tenantId)	BACKFILL_COMPATIBILITY_BEHAVIOR	YES (creates legacy head revision state)	NO	TimelineEditorSyncService:60	1	projectId + tenantId	Optional<RevisionInfo>	projectId + tenantId	canonical head derivation (ProductCurrentRevisionService)	PARTIAL	DELETE_OBSOLETE_BEHAVIOR	MIGRATE_OR_DELETE	YES	CFRH-I1	creates legacy revision state; backfill is compatibility behavior	TimelineEditorSyncService:60
compareRevisions(projectId, fromRevisionId, toRevisionId)	DIFF_COMPARE	NO	NO	TimelineRevisionController:129, TimelineWorkbenchController:91,101,102	4	projectId + 2 revisionIds	CompareResult	projectId at call	canonical diff via TimelineSemanticDiffV1Service or canonical diff service	PARTIAL (TimelineSemanticDiffV1Service exists for v1)	MIGRATE_BEHAVIOR	MIGRATE_TO_NON_AUTHORITY_QUERY_PROJECTION	YES	CFRH-I2	diff/compare = projection; uses legacy revision rows	controller + workbench
previewPatchReplay(revisionId)	PATCH_PREVIEW	NO	NO	TimelineRevisionController:149	1	revisionId (global)	PatchPreviewResult	revisionId only (GLOBAL_ID_ONLY)	canonical patch preview via TimelinePatchApplicationService	YES (canonical patch app service exists)	MIGRATE_BEHAVIOR	MIGRATE_TO_CANONICAL_PATCH_PREVIEW	YES	CFRH-I2	global id-only read for preview; canonical patch service exists	TimelineRevisionController:149
previewPatchSteps(revisionId)	PATCH_PREVIEW	NO	NO	TimelineRevisionController:160	1	revisionId (global)	PatchStepsResult	revisionId only (GLOBAL_ID_ONLY)	canonical patch preview via TimelinePatchApplicationService	YES	MIGRATE_BEHAVIOR	MIGRATE_TO_CANONICAL_PATCH_PREVIEW	YES	CFRH-I2	same as patch-replay	TimelineRevisionController:160
recordAiAdoptRevision(projectId, tenantId, internalTimelineJson, ...)	LEGACY_SEMANTIC_WRITE_AUTHORITY	YES	NO	RenderController:308	1	internal-1.0 JSON + projectId + tenantId	RevisionInfo	projectId + tenantId explicit	TimelineRevisionSaveService.saveRevision* (canonical)	YES (input conversion required: AI internal-1.0 JSON → canonical)	DELETE_OBSOLETE_BEHAVIOR	MIGRATE_TO_CANONICAL_WRITE_AUTHORITY	YES	CFRH-I1	AI-adopt write path creates legacy revisions	RenderController:308
getDetail(revisionId)	QUERY_PROJECTION	NO	NO	TimelineRevisionController:180	1	revisionId (global)	Optional<RevisionDetail>	revisionId only (GLOBAL_ID_ONLY)	canonical revision detail via scoped read	PARTIAL	MIGRATE_BEHAVIOR	MIGRATE_TO_SCOPED_READ	YES	CFRH-I2	global id-only read	TimelineRevisionController:180
restore(projectId, tenantId, revisionId, authorUserId)	RESTORE_OR_REISSUE_AUTHORITY	YES (creates new revision)	NO	TimelineRevisionController:193	1	projectId + tenantId + revisionId	RestoreResult	projectId + tenantId explicit	canonical restore via TimelineRevisionSaveService.restoreRevision (R1-R3 fixed, verified-payload reissue)	YES (canonical restore exists)	DELETE_OBSOLETE_BEHAVIOR	MIGRATE_TO_CANONICAL_RESTORE	YES	CFRH-I1	legacy restore creates new revision = competing semantic write	TimelineRevisionController:193
