TABLE	DOMAIN	CLASS	CANONICAL_AUTHORITY	TENANT_SCOPED	PRIMARY_ID	PROPOSED_ACTION
api_client	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
api_key	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
app_datasource	storage-module	INFRASTRUCTURE	storage-module	YES	id	NO_CHANGE
apply_command	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
artifact	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
artifact_graph	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
artifact_node	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
artifact_pin	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
artifact_relation	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
artifact_replica	artifact-module	CANONICAL_STATE	artifact-module	YES	id	NO_CHANGE
asset_semantic_metadata	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
audit_records	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
billing_invoice	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
billing_ledger_entry	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
checkout_session	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
client_export_session	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
cloud_resource_definition	storage-module	INFRASTRUCTURE	storage-module	YES	id	NO_CHANGE
commerce_cart	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
commerce_cart_line	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
commerce_price	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
commerce_product	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
config_item	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
credit_transaction	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
credit_wallet	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
custom_pricing_rule	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
delivery_destination	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
delivery_job	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
delivery_policy	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
discount_policy	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
effect_pack	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
effect_pack_effect	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
entitlement_bundle	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
entitlement_grant	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
entitlement_override	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
extension_audit_event	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
extension_definition	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
extension_invocation	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
extension_resource_limit	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
extension_rollback_point	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
extension_routing_rule	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
feature_bundle	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
feature_bundle_item	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
feature_definition	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
feature_flag_definition	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
feature_flag_targeting_rule	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
frontend_route_definition	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
group_role_assignment	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
invoice_line_item	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
marketplace_listing	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
media_asset	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
media_asset_artifact	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
media_probe_observation	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
media_stream	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
navigation_policy	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
nlq_query_history	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
nlq_report_definition	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
nlq_report_execution	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_channel_binding	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_delivery	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_delivery_record	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_event	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_event_definition	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_preference	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_record	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_subscription	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_template	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
notification_user_inbox	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
outbox_events	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
payment_attempt	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
permission	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
platform_job	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
platform_task	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
pricing_rule	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
problematic_data_record	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
problematic_data_rule_config	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
product	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
product_dependency	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
project	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
project_import_metadata	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
project_revision_counter	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
prompt_evaluation_result	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
prompt_execution_run	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
prompt_template	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
prompt_template_version	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
provider_cost_observation	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
provider_product_mapping	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
provider_webhook_event	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
purchase_order	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
quarantined_prompt_executions	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
quarantined_provider_workers	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
quarantined_render_jobs	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
quota_definitions	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
quota_profile	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
quota_usage	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
rated_usage_record	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
render_billing_record	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_job	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_job_lease	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_job_queue	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_job_status_history	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_usage_record	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
render_worker	render-module	CANONICAL_STATE	render-module	YES	id	NO_CHANGE
review_decision	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
review_thread	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
role	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
role_permission	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
sandbox_execution_job	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
schedules	platform	INFRASTRUCTURE	platform	YES	id	NO_CHANGE
search_projection	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
secret_ref	storage-module	INFRASTRUCTURE	storage-module	YES	id	NO_CHANGE
service_account	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
shared_resource_grant	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
social_connected_platform	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
social_post	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
social_post_analytics	capability-facing	OPERATIONAL_STATE	capability-facing	YES	id	NO_CHANGE
source_visual_description_snapshot	media-module	CANONICAL_STATE	media-module	YES	id	NO_CHANGE
storage_object	storage-module	INFRASTRUCTURE	storage-module	YES	id	NO_CHANGE
storage_reference	storage-module	INFRASTRUCTURE	storage-module	YES	id	NO_CHANGE
subscription_contract	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
subscription_plan	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
system_canonical_edge	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
system_canonical_event	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
system_canonical_graph	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
tenant	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
tenant_entitlement_tier	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
tenant_litellm_virtual_key	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
timeline_comment	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
timeline_review	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
timeline_revision	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
timeline_revision_parent	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
timeline_revision_ref	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
timeline_snapshot	timeline-module	CANONICAL_STATE	timeline-module	YES	id	NO_CHANGE
