row_id	exact_path	symbol_or_component	current_callers	current_dependency_direction	current_runtime_role	current_authority_claim	phase_17_relevance	disposition	rationale
P17-L-001	docs/architecture/declarative-plugin-sandbox.md	declarative-plugin-sandbox	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-002	docs/archive/docs-cn/08-extension-platform/02-sandbox-runtime.md	02-sandbox-runtime	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-003	docs/archive/plugin-sandbox-guidelines.md	plugin-sandbox-guidelines	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-004	docs/examples/opencue/local-docker-p2o0a/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-005	docs/examples/opencue/local-docker-p2o0a/docker-compose.opencue-smoke.yml	docker-compose.opencue-smoke	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-006	docs/examples/opencue/local-docker-p2o0b/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-007	docs/examples/opencue/local-docker-p2o0b/docker-compose.opencue-runtime-smoke.yml	docker-compose.opencue-runtime-smoke	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-008	docs/examples/opencue/local-docker-p2o0c/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-009	docs/examples/opencue/local-docker-p2o0c/docker-compose.opencue-runtime-ready.yml	docker-compose.opencue-runtime-ready	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-010	docs/examples/opencue/local-docker-p2o0d/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-011	docs/examples/opencue/local-docker-p2o0d/docker-compose.override.if-needed.yml	docker-compose.override.if-needed	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-012	docs/examples/opencue/local-docker-p2o0d/job-submission-strategy.md	job-submission-strategy	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-013	docs/examples/opencue/local-docker-p2o0e/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
