TYPE	CURRENT_MODULE	CURRENT_PACKAGE	BEHAVIOR	ROLE	CANONICAL_AUTHORITY	AUTHORITY_OWNER	PERSISTENCE_OWNER	STORAGE_OWNER	FINAL_MODULE	FINAL_PACKAGE	ACTION	CALLER_COUNT	DB_TABLES_OR_COLUMNS	HISTORICAL_PIN_RELEVANCE	FINAL_LOCATION_VERIFIED	RATIONALE
Artifact	artifact-module	artifact.domain	canonical immutable Artifact record (ArtifactId+ContentDigest+byteLength+mediaType+kind+state)	CANONICAL_ARTIFACT	YES	artifact-module	artifact-module	storage (replicas)	artifact-module	artifact.domain	KEEP	231	artifact (canonical cols)	YES	PASS	canonical domain model; gains jOOQ persistence adapter (ArtifactRepository) in GCR-2
ArtifactCatalogConfiguration	artifact-module	artifact	bean wiring	CONFIG	NO	artifact-module	-	-	artifact-module	artifact	KEEP	1	none	NO	PASS	kept
ArtifactCatalogEntry	artifact-module	artifact.domain	render-output-oriented projection (renderJobId, storageUri, format, resolution, duration, checksum)	PROJECTION	NO	artifact-module	artifact-module	-	artifact-module	artifact.domain	KEEP	10	artifact (projection cols)	NO	PASS	kept as read model; canonical authority stays in Artifact domain; catalog rebuild must not mutate canonical identity
ArtifactCatalogRepository	artifact-module	artifact.app	jOOQ persistence of ArtifactCatalogEntry	CATALOG_REPOSITORY	NO	artifact-module	artifact-module	-	artifact-module	artifact.app	KEEP	5	artifact	NO	PASS	projection persistence; must not be canonical write path (guard)
ArtifactCatalogService	artifact-module	artifact.app	catalog read/write service (projection)	CATALOG_SERVICE	NO	artifact-module	artifact-module	-	artifact-module	artifact.app	KEEP	7	artifact	NO	PASS	projection service; canonical writes route via Artifact commit domain, not catalog
ArtifactCommitRequest	artifact-module	artifact.domain	commit request (ArtifactId+ContentDigest+replicas+provenance)	COMMIT_REQUEST	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	6	artifact	NO	PASS	kept
ArtifactCommitResult	artifact-module	artifact.domain	commit result	COMMIT_RESULT	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	4	none	NO	PASS	kept
ArtifactCommitService	artifact-module	artifact.domain	canonical Artifact commit contract	CANONICAL_COMMIT	YES	artifact-module	artifact-module	-	artifact-module	artifact.domain	KEEP	8	artifact	NO	PASS	contract; persistence adapter added
ArtifactController	artifact-module	artifact.api	catalog overview endpoint	API	NO	artifact-module	-	-	artifact-module	artifact.api	KEEP	1	artifact	NO	PASS	kept
ArtifactDescriptor	artifact-module	artifact.domain	artifact descriptor	DESCRIPTOR	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	2	none	NO	PASS	kept
ArtifactErrorCode	artifact-module	artifact.domain	error codes	ERROR_CODES	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	4	none	NO	PASS	kept
ArtifactGcProperties	artifact-module	artifact.infrastructure	GC config	CONFIG	NO	artifact-module	-	-	artifact-module	artifact.infrastructure	KEEP	4	none	NO	PASS	kept
ArtifactGcScheduler	artifact-module	artifact.app	scheduled GC	SCHEDULER	NO	artifact-module	-	-	artifact-module	artifact.app	KEEP	1	artifact	NO	PASS	kept
ArtifactGcService	artifact-module	artifact.app	purges tombstoned catalog rows + blob delete	LIFECYCLE_GC	YES	artifact-module	artifact-module	storage-module	artifact-module	artifact.app	EVOLVE	4	artifact, artifact_pin	YES (MUST respect pins)	PASS	gains pin-awareness: pinned artifacts and last usable replica rejected (HISTORICAL_PIN_GC_BYPASS=0)
ArtifactId	shared-kernel	shared.identity	stable logical Artifact identity (immutable value)	IDENTITY_PRIMITIVE	NO	shared-kernel	-	-	shared-kernel	shared.identity	KEEP	50	none	YES (pinned in source bindings)	PASS	tiny immutable cross-domain primitive; precedent for ContentDigest; identity is not storage
ArtifactKind	artifact-module	artifact.domain	artifact kind enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	8	none	NO	PASS	kept
ArtifactLifecycleController	artifact-module	artifact.api	delete-check/tombstone/gc endpoints	API	NO	artifact-module	-	-	artifact-module	artifact.api	KEEP	1	artifact	NO	PASS	kept
ArtifactLifecycleService	artifact-module	artifact.app	delete-check + tombstone	LIFECYCLE	YES	artifact-module	artifact-module	storage-module	artifact-module	artifact.app	EVOLVE	4	artifact, artifact_pin	YES	PASS	deleteCheck consults artifact_pin
ArtifactMediaType	artifact-module	artifact.domain	media type enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	6	none	NO	PASS	kept
ArtifactQueryService	artifact-module	artifact.domain	canonical Artifact query contract (getArtifact/listReplicas/listParents/listChildren)	CANONICAL_QUERY	YES	artifact-module	artifact-module	-	artifact-module	artifact.domain	KEEP	9	artifact + artifact_replica	YES (pin validation)	PASS	contract; timeline pin validation port implemented against it
ArtifactRef	shared-kernel	shared.capability	obsolete competing Artifact reference abstraction	OBSOLETE_ABSTRACTION	NO	none	-	-			DELETE	5	none	NO	DELETED	1 production user (extension PluginExecutionResult) migrates to typed ArtifactId; K1 guard flips; storage nested ArtifactRef record unrelated
ArtifactRelation	artifact-module	artifact.domain	artifact->artifact relation (provenance)	RELATION	NO	artifact-module	artifact-module	-	artifact-module	artifact.domain	KEEP	16	artifact_relation	NO	PASS	kept
ArtifactRelationRepository	artifact-module	artifact.app	jOOQ persistence of relations	RELATION_REPOSITORY	NO	artifact-module	artifact-module	-	artifact-module	artifact.app	KEEP	4	artifact_relation	NO	PASS	kept
ArtifactReplicaBinding	artifact-module	artifact.domain	typed binding Artifact->StorageObjectId/StorageReplicaId/StorageProviderId	REPLICA_BINDING	NO	artifact-module	artifact-module	storage-module	artifact-module	artifact.domain	KEEP	9	artifact_replica	YES (last-replica protection)	PASS	canonical replica binding concept; persisted to artifact_replica table
ArtifactRepository	storage-module	storage.app	SECOND writer of artifact table (render-output shape)	DUAL_PERSISTENCE	YES	artifact-module	artifact-module	storage-module	artifact-module	artifact.infrastructure	REPLACE	7	artifact	NO	PASS	competing artifact persistence; replaced by artifact-module jOOQ ArtifactRepository; storage keeps data-plane only
ArtifactState	artifact-module	artifact.domain	state enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	7	none	NO	PASS	kept
