path	symbol	object_type	query_scope	project_predicate_at_query	tenant_predicate_at_query	callers	load_then_check	system_authority	risk_class	target_wave	evidence
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineSnapshotService.java	findPayload(String snapshotId)	Timeline snapshot payload	GLOBAL_ID_ONLY_QUERY	NO	NO	RenderJobExecutionService:590, BaseJobTimelineLoader:56, TimelineRevisionRenderService:129, PlanBasedTimelineRevisionRenderService:187, TimelineRevisionService (legacy)	NO (no check at all)	NO	P1_UNSCOPED_PRODUCTION_RISK	CFRH-I2	global-id-only canonical payload read
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineSnapshotService.java	findById(String snapshotId)	Timeline snapshot	GLOBAL_ID_ONLY_QUERY	NO	NO	TimelineEditorSyncService:73, TimelineAssetLifecycleService:115	YES (asset-lifecycle: :116 projectId check after read)	NO	P1_UNSCOPED_PRODUCTION_RISK	CFRH-I2	global-id-only snapshot read
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineSnapshotService.java	findLatestByProject(String projectId)	Timeline snapshot (latest)	PROJECT_ONLY_QUERY	YES	NO	TimelineAssetGcService:75,148, TimelineAssetLifecycleService:80, TimelineEditorSyncService:65, KnownStorageUriIndexService:105, TimelineRevisionService:279 (legacy)	NO	NO	P1_PROJECT_ONLY (tenantId missing)	CFRH-I2	project-only read; tenantId must also apply per adopted contracts
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineSnapshotService.java	findOwnedById(projectId, tenantId, snapshotId)	Timeline snapshot	OWNERSHIP_SCOPED_AT_QUERY	YES	YES	TimelineRevisionSaveService:548, TimelineMergeEngine:762, HistoricalRevisionRestoreVerifier:86	NO	NO	SAFE (correct pattern)	—	canonical scoped read
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineSnapshotService.java	listDistinctProjectIds()	system introspection	SYSTEM_GLOBAL_EXPLICIT	NO	NO	(admin/introspection)	NO	YES (system)	SAFE_SYSTEM_GLOBAL	—	system-level introspection port
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineRevisionRepository.java	findById(revisionId)	Timeline revision row	GLOBAL_ID_ONLY_QUERY	NO	NO	TimelineMergeEngine:754, TimelineRevisionService:195,202,449	PARTIAL (merge-engine checks after)	NO	P1_UNSCOPED_PRODUCTION_RISK (merge engine path)	CFRH-I2	global revision row read
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineRevisionRepository.java	findHeadByProject(projectId)	Timeline revision head	PROJECT_ONLY_QUERY	YES	NO	(legacy service internals)	NO	NO	P1_PROJECT_ONLY (verify callers)	CFRH-I2	project-only head read
timeline-module/src/main/java/com/example/platform/timeline/adapter/TimelineRevisionRepository.java	listByProject(projectId, ...)	Timeline revision list	PROJECT_ONLY_QUERY	YES	NO	(legacy service internals)	NO	NO	P1_PROJECT_ONLY (verify callers)	CFRH-I2	project-only list read
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionSaveService.java	findById(revisionId)	Timeline revision	OWNERSHIP_SCOPED_AT_QUERY	YES (row has projectId)	YES (TenantContext + tenant predicate)	TimelineRevisionRenderService:113, PlanBasedTimelineRevisionRenderService:174, TimelineSemanticDiffV1Service:57	NO	NO	SAFE (R3-fixed)	—	single ownership-validated row read
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineMergeEngine.java	revisionRepository.findById(revisionId) (internal, L754)	Timeline revision row	GLOBAL_ID_ONLY_QUERY	NO	NO (contextTenant at caller but not in query)	merge engine merge/mergeSemantic paths	NO (owned snapshot read AFTER at :762)	NO	P1_LOAD_THEN_CHECK (row read unscoped)	CFRH-I2	row read must be ownership-scoped at query; propose findOwnedById(revisionId, projectId, tenantId)
timeline-module/src/main/java/com/example/platform/timeline/app/TimelineRevisionService.java	findById/findPayload/getDetail/previewPatchReplay/previewPatchSteps (legacy)	Timeline revision (legacy)	GLOBAL_ID_ONLY_QUERY	NO	NO	TimelineRevisionController:149,160,180 + internal	NO	NO	P0_LEGACY_READ_AUTHORITY	CFRH-I2 (after I1)	legacy read authority; service deleted after behavior closure
