path	symbol	current_authority_behavior	current_callers	disposition	replacement	closure_guard
render-module/src/main/java/com/example/platform/render/infrastructure/renderplan/ArtifactCache.java	ArtifactCache	Legacy process-local ConcurrentHashMap<String,String> inputHash -> outputUri cache; not Artifact authority.	DagExecutionEngine constructor/get/put; tests if any	MIGRATE_REDESIGN / DELETE_SHADOW	ArtifactReuseIndexPort lookup by ExecutionReuseKey returning ArtifactId+ContentDigest, followed by Artifact authority validation	LEGACY_HASH_TO_URI_ARTIFACT_CACHE_AUTHORITY_COUNT=0; LEGACY_CONCURRENT_HASHMAP_ARTIFACT_REUSE_AUTHORITY_COUNT=0
render-module/src/main/java/com/example/platform/render/infrastructure/renderplan/DagExecutionEngine.java	DagExecutionEngine cache hit path	Direct cache hit skips node and treats String output URI as node output.	Render DAG infrastructure/tests	MIGRATE_REDESIGN	ValidatedReuseDecision from worker-fabric orchestration + dependency-preserving pruning	INCREMENTAL_PLAN_DIRECT_SKIP_WITHOUT_ARTIFACT_VALIDATION_COUNT=0; RAW_STORAGE_URI_AS_REUSE_IDENTITY_COUNT=0
render-module/src/main/java/com/example/platform/render/domain/planning/IncrementalRenderPlan.java	IncrementalRenderPlan.reuse / reuseTaskIds	Current plan carries ReusableArtifact list and reuse ids; must become candidate-only, not reusable Artifact truth.	IncrementalRenderPlanService, response DTO, PipelineDagExecutorService/tests	MIGRATE_REDESIGN	Reuse candidate projection; final skip only after ExecutionReuseKey + reuse-index + Artifact validation	INCREMENTAL_PLAN_DIRECT_REUSE_TRUTH_COUNT=0
render-module/src/main/java/com/example/platform/render/domain/planning/ReusableArtifact.java	ReusableArtifact(uri, cacheKey)	Legacy reusable artifact value includes URI/cacheKey fields.	IncrementalRenderPlanService/response/tests	DELETE_SHADOW	Candidate metadata without final URI truth, or worker-fabric ValidatedReuseDecision	RAW_STORAGE_URI_REUSE_IDENTITY_COUNT=0
render-module/src/main/java/com/example/platform/render/app/timeline/RenderCacheUriResolver.java	RenderCacheUriResolver	URI resolution mechanics for render cache; not reuse truth.	IncrementalRenderPlanService	REUSE_MECHANICS_ONLY	May feed candidate hints only; no authoritative skip	RAW_STORAGE_URI_AS_REUSE_IDENTITY_COUNT=0
render-module/src/main/java/com/example/platform/render/app/timeline/RenderCacheReuseValidator.java	RenderCacheReuseValidator	Hash/URI validation mechanics around render reuse; insufficient as Artifact authority.	IncrementalRenderPlanService	REUSE_MECHANICS_ONLY	Artifact authority validation via ArtifactId+ContentDigest after reuse-index hit	CACHE_HIT_REQUIRES_ARTIFACT_COMMIT_AND_DIGEST_VALIDATION
render-module/src/main/java/com/example/platform/render/app/timeline/SegmentPlanFilter.java	SegmentPlanFilter reuse rewriting	RenderExtent/segment pruning can force non-target segment tasks to reuse/skip.	Pipeline plan filtering	MIGRATE_REDESIGN	Pure dependency-preserving reuse pruning in media-execution-plan-module after validated reuse set	INCREMENTAL_PLAN_DIRECT_SKIP_WITHOUT_ARTIFACT_VALIDATION_COUNT=0
artifact-module/src/main/java/com/example/platform/artifact/domain/Artifact.java	Artifact / ArtifactId / ContentDigest / ArtifactState	Canonical Artifact domain authority.	Artifact query/commit/pin services	REUSE_AS_CANONICAL	Preserve as authority; worker-fabric validates through artifact port/service	ARTIFACT_COMMIT_BYPASS_COUNT=0
artifact-module/src/main/java/com/example/platform/artifact/infrastructure/JooqArtifactCommitService.java	JooqArtifactCommitService	Sole production Artifact write authority; commits Artifact row, replica, provenance.	RenderArtifactStorageService and artifact app services	REUSE_AS_CANONICAL	Use after staged output digest before reuse-index publication/task completion	REUSE_INDEX_PUBLICATION_AFTER_ARTIFACT_COMMIT guard
storage-module/src/main/java/com/example/platform/storage/contract/StorageProvider.java	StorageProvider	Storage access contract/mechanics.	storage-provider-opendal and storage consumers	REUSE_AS_CANONICAL	ArtifactMaterializerPort delegates behind worker-fabric boundary; provider sees MaterializedArtifact	PROVIDER_DIRECT_OPENDAL_DEPENDENCY_COUNT=0
storage-provider-opendal/src/main/java/com/example/platform/storage/opendal/internal/AbstractOpenDalProvider.java	OpenDAL adapter	Concrete OpenDAL mechanics internal to provider adapter.	Storage provider implementation/tests	REUSE_MECHANICS_ONLY	Direct OpenDAL-backed materializer through StorageProvider only	OPENDAL imports confined to storage-provider-opendal
media-execution-plan-module/src/main/java/com/example/platform/execution/taskgraph/ExecutableTask.java	ExecutableTask	Provider-bound task semantic structure; basis for pure reuse-key derivation.	Execution graph/fabric code/tests	REUSE_AS_CANONICAL	ExecutionReuseKey V1 canonicalization over immutable task semantics	MUTABLE_RUNTIME_KEY_PARTICIPANT_COUNT=0
media-execution-plan-module/src/main/java/com/example/platform/execution/taskgraph/ExecutionArtifactBoundary.java	ExecutionArtifactBoundary	Boundary semantics without pre-invented future Artifact identity.	Executable task graph boundary validation	REUSE_AS_CANONICAL	Computed inter-task key uses predecessor key + output declaration + boundary semantics	FUTURE_ARTIFACT_PIN_REQUIRED_FOR_COMPUTED_REUSE_KEY_COUNT=0
